order_id;item_id;product_id;quantity;list_price;discount;;;;;;2.285.419,32;; 14.874.687,18 
123;1;12;2;549,99;0,1;;;;371; 819,98 ; 0,40 ;;
124;1;16;1;599,99;0,05;;;;372; 3.271,97 ; 0,25 ;;
124;2;4;1;2899,99;0,07;;;;373; 3.338,96 ; 0,55 ;;
124;3;7;2;3999,99;0,05;;;;374; 5.548,99 ; 0,17 ;;
125;1;17;1;429;0,1;;;;375; 4.469,96 ; 0,22 ;;
126;1;9;2;2999,99;0,05;;;;376; 1.049,98 ; 0,17 ;;
127;1;17;1;429;0,07;;;;377; 2.069,98 ; 0,12 ;;
127;2;20;1;599,99;0,1;;;;378; 599,99 ; 0,05 ;;
127;3;4;2;2899,99;0,07;;;;379; 3.599,98 ; 0,27 ;;
128;1;24;2;549,99;0,1;;;;380; 2.280,98 ; 0,10 ;;
128;2;16;2;599,99;0,1;;;;381; 269,99 ; 0,07 ;;
128;3;4;2;2899,99;0,2;;;;382; 5.069,97 ; 0,27 ;;
128;4;3;2;999,99;0,2;;;;383; 1.528,96 ; 0,37 ;;
129;1;18;1;449;0,1;;;;384; 6.099,95 ; 0,65 ;;
129;2;9;1;2999,99;0,1;;;;385; 4.869,97 ; 0,32 ;;
130;1;26;1;599,99;0,05;;;;386; 3.399,97 ; 0,45 ;;
130;2;5;2;1320,99;0,07;;;;387; 449,00 ; 0,20 ;;
131;1;22;2;269,99;0,2;;;;388; 3.149,97 ; 0,44 ;;
131;2;4;2;2899,99;0,07;;;;389; 7.149,96 ; 0,44 ;;
131;3;24;2;549,99;0,1;;;;390; 7.299,97 ; 0,17 ;;
132;1;2;2;749,99;0,05;;;;392; 1.269,98 ; 0,15 ;;
132;2;20;1;599,99;0,05;;;;393; 469,99 ; 0,20 ;;
132;3;9;1;2999,99;0,1;;;;394; 1.169,97 ; 0,45 ;;
133;1;13;2;269,99;0,05;;;;395; 269,99 ; 0,05 ;;
133;2;22;1;269,99;0,2;;;;396; 2.370,97 ; 0,35 ;;
134;1;19;2;449;0,1;;;;397; 3.999,99 ; 0,05 ;;
134;2;2;2;749,99;0,07;;;;398; 3.177,98 ; 0,35 ;;
134;3;18;2;449;0,07;;;;399; 2.450,97 ; 0,20 ;;
135;1;5;2;1320,99;0,05;;;;400; 4.549,97 ; 0,47 ;;
135;2;18;2;449;0,05;;;;401; 1.848,99 ; 0,40 ;;
135;3;25;1;499,99;0,2;;;;402; 2.390,97 ; 0,19 ;;
135;4;2;1;749,99;0,05;;;;403; 5.369,96 ; 0,55 ;;
136;1;7;2;3999,99;0,2;;;;404; 4.099,97 ; 0,32 ;;
136;2;3;2;999,99;0,05;;;;405; 2.818,98 ; 0,37 ;;
137;1;23;1;299,99;0,07;;;;406; 2.899,99 ; 0,20 ;;
137;2;22;1;269,99;0,1;;;;408; 2.627,98 ; 0,54 ;;
138;1;16;2;599,99;0,1;;;;409; 1.399,97 ; 0,32 ;;
138;2;6;1;469,99;0,2;;;;410; 4.049,97 ; 0,25 ;;
139;1;19;2;449;0,07;;;;411; 1.349,98 ; 0,12 ;;
139;2;3;1;999,99;0,07;;;;412; 4.978,98 ; 0,27 ;;
140;1;15;1;529,99;0,2;;;;413; 5.299,97 ; 0,22 ;;
140;2;21;1;269,99;0,2;;;;414; 2.899,99 ; 0,10 ;;
140;3;12;2;549,99;0,2;;;;415; 3.090,96 ; 0,52 ;;
140;4;3;1;999,99;0,05;;;;416; 1.089,97 ; 0,24 ;;
141;1;18;1;449;0,2;;;;417; 1.069,98 ; 0,14 ;;
142;1;16;2;599,99;0,1;;;;418; 1.149,98 ; 0,10 ;;
142;2;11;2;1680,99;0,1;;;;419; 2.999,99 ; 0,05 ;;
142;3;19;1;449;0,07;;;;420; 1.958,98 ; 0,35 ;;
143;1;6;1;469,99;0,2;;;;421; 5.269,95 ; 0,74 ;;
144;1;8;2;1799,99;0,05;;;;422; 599,99 ; 0,05 ;;
145;1;11;1;1680,99;0,2;;;;423; 3.278,97 ; 0,52 ;;
145;2;9;2;2999,99;0,1;;;;424; 739,98 ; 0,15 ;;
146;1;3;2;999,99;0,2;;;;425; 1.188,98 ; 0,22 ;;
146;2;12;1;549,99;0,1;;;;426; 1.848,99 ; 0,15 ;;
146;3;20;2;599,99;0,1;;;;427; 1.679,97 ; 0,24 ;;
146;4;6;2;469,99;0,05;;;;428; 1.590,98 ; 0,40 ;;
146;5;2;1;749,99;0,07;;;;429; 7.121,95 ; 0,52 ;;
147;1;26;2;599,99;0,2;;;;430; 6.920,95 ; 0,77 ;;
148;1;14;1;269,99;0,05;;;;431; 1.907,97 ; 0,64 ;;
149;1;12;2;549,99;0,07;;;;432; 5.548,99 ; 0,25 ;;
149;2;21;2;269,99;0,07;;;;433; 5.468,97 ; 0,60 ;;
150;1;7;1;3999,99;0,1;;;;434; 5.999,96 ; 0,47 ;;
150;2;3;1;999,99;0,2;;;;435; 3.718,98 ; 0,15 ;;
150;3;17;1;429;0,07;;;;436; 1.299,98 ; 0,25 ;;
150;4;25;2;499,99;0,07;;;;437; 4.348,98 ; 0,15 ;;
151;1;17;1;429;0,1;;;;438; 5.239,96 ; 0,27 ;;
151;2;26;1;599,99;0,1;;;;439; 4.469,98 ; 0,12 ;;
152;1;6;2;469,99;0,2;;;;440; 3.348,99 ; 0,14 ;;
152;2;22;2;269,99;0,2;;;;441; 1.079,98 ; 0,17 ;;
152;3;16;2;599,99;0,07;;;;442; 1.669,97 ; 0,47 ;;
153;1;16;1;599,99;0,07;;;;443; 1.920,98 ; 0,25 ;;
153;2;8;1;1799,99;0,07;;;;444; 3.548,96 ; 0,49 ;;
153;3;15;2;529,99;0,05;;;;445; 4.899,97 ; 0,47 ;;
154;1;12;1;549,99;0,1;;;;446; 869,98 ; 0,27 ;;
155;1;8;1;1799,99;0,1;;;;447; 5.699,97 ; 0,22 ;;
156;1;18;2;449;0,2;;;;448; 739,98 ; 0,10 ;;
156;2;17;2;429;0,05;;;;449; 5.778,97 ; 0,37 ;;
156;3;6;1;469,99;0,07;;;;450; 2.420,97 ; 0,22 ;;
157;1;4;1;2899,99;0,1;;;;451; 269,99 ; 0,05 ;;
157;2;7;2;3999,99;0,07;;;;452; 8.080,96 ; 0,30 ;;
158;1;24;1;549,99;0,1;;;;453; 3.799,97 ; 0,45 ;;
159;1;13;1;269,99;0,2;;;;454; 1.319,97 ; 0,22 ;;
160;1;21;1;269,99;0,07;;;;455; 2.999,99 ; 0,05 ;;
160;2;15;2;529,99;0,07;;;;456; 728,99 ; 0,14 ;;
160;3;18;2;449;0,1;;;;457; 5.728,97 ; 0,42 ;;
160;4;11;1;1680,99;0,05;;;;458; 4.250,95 ; 0,77 ;;
161;1;24;2;549,99;0,07;;;;459; 1.680,99 ; 0,20 ;;
161;2;22;1;269,99;0,05;;;;460; 4.067,98 ; 0,42 ;;
161;3;7;2;3999,99;0,05;;;;461; 6.298,96 ; 0,52 ;;
162;1;18;1;449;0,07;;;;462; 549,99 ; 0,10 ;;
162;2;21;2;269,99;0,07;;;;463; 269,99 ; 0,07 ;;
162;3;3;2;999,99;0,1;;;;464; 3.999,99 ; 0,10 ;;
163;1;12;1;549,99;0,1;;;;465; 969,98 ; 0,20 ;;
163;2;18;1;449;0,2;;;;466; 6.769,96 ; 0,65 ;;
164;1;4;2;2899,99;0,05;;;;467; 4.377,98 ; 0,41 ;;
164;2;10;2;1549;0,05;;;;468; 5.497,98 ; 0,30 ;;
164;3;14;1;269,99;0,1;;;;469; 5.229,97 ; 0,37 ;;
165;1;4;2;2899,99;0,05;;;;470; 2.518,98 ; 0,30 ;;
165;2;23;1;299,99;0,2;;;;471; 539,98 ; 0,25 ;;
165;3;2;1;749,99;0,05;;;;472; 799,98 ; 0,20 ;;
166;1;10;2;1549;0,1;;;;473; 599,99 ; 0,07 ;;
166;2;11;1;1680,99;0,2;;;;474; 2.129,99 ; 0,25 ;;
167;1;12;1;549,99;0,05;;;;475; 1.528,98 ; 0,47 ;;
167;2;10;1;1549;0,2;;;;476; 5.450,96 ; 0,39 ;;
167;3;13;2;269,99;0,05;;;;477; 2.018,99 ; 0,15 ;;
167;4;7;2;3999,99;0,05;;;;478; 269,99 ; 0,07 ;;
168;1;6;1;469,99;0,1;;;;479; 6.968,96 ; 0,57 ;;
168;2;11;2;1680,99;0,07;;;;480; 3.729,97 ; 0,17 ;;
168;3;12;2;549,99;0,07;;;;481; 3.869,97 ; 0,37 ;;
168;4;22;2;269,99;0,2;;;;482; 539,98 ; 0,30 ;;
169;1;20;2;599,99;0,1;;;;483; 429,00 ; 0,07 ;;
169;2;5;1;1320,99;0,05;;;;484; 5.819,96 ; 0,40 ;;
169;3;10;1;1549;0,2;;;;485; 869,98 ; 0,15 ;;
169;4;11;1;1680,99;0,2;;;;486; 3.299,98 ; 0,12 ;;
169;5;14;2;269,99;0,05;;;;487; 469,99 ; 0,20 ;;
170;1;12;2;549,99;0,1;;;;488; 839,97 ; 0,17 ;;
170;2;24;1;549,99;0,05;;;;489; 1.799,99 ; 0,10 ;;
170;3;7;1;3999,99;0,2;;;;490; 1.389,96 ; 0,32 ;;
170;4;18;2;449;0,05;;;;491; 3.799,97 ; 0,30 ;;
171;1;8;1;1799,99;0,05;;;;492; 1.339,97 ; 0,25 ;;
172;1;23;1;299,99;0,07;;;;493; 1.578,98 ; 0,15 ;;
172;2;16;1;599,99;0,2;;;;494; 299,99 ; 0,10 ;;
173;1;14;1;269,99;0,05;;;;495; 3.269,98 ; 0,25 ;;
173;2;16;1;599,99;0,2;;;;496; 839,97 ; 0,50 ;;
173;3;20;2;599,99;0,05;;;;497; 499,99 ; 0,07 ;;
174;1;22;2;269,99;0,2;;;;498; 2.368,98 ; 0,24 ;;
174;2;19;2;449;0,1;;;;499; 3.080,96 ; 0,57 ;;
175;1;5;1;1320,99;0,1;;;;500; 819,98 ; 0,25 ;;
175;2;2;2;749,99;0,2;;;;501; 2.818,97 ; 0,29 ;;
175;3;21;2;269,99;0,1;;;;502; 269,99 ; 0,05 ;;
175;4;19;1;449;0,07;;;;503; 1.818,99 ; 0,12 ;;
176;1;2;2;749,99;0,07;;;;504; 1.299,98 ; 0,15 ;;
176;2;11;2;1680,99;0,2;;;;505; 599,99 ; 0,20 ;;
176;3;16;2;599,99;0,05;;;;506; 4.499,98 ; 0,17 ;;
177;1;20;2;599,99;0,1;;;;507; 2.550,97 ; 0,22 ;;
178;1;10;2;1549;0,2;;;;508; 4.598,97 ; 0,22 ;;
178;2;12;1;549,99;0,05;;;;509; 3.199,98 ; 0,25 ;;
178;3;3;1;999,99;0,1;;;;510; 429,00 ; 0,10 ;;
178;4;18;1;449;0,07;;;;511; 539,98 ; 0,15 ;;
179;1;13;2;269,99;0,05;;;;512; 269,99 ; 0,07 ;;
179;2;26;1;599,99;0,1;;;;513; 4.569,97 ; 0,34 ;;
179;3;18;1;449;0,2;;;;514; 878,00 ; 0,27 ;;
179;4;12;2;549,99;0,2;;;;515; 4.090,96 ; 0,44 ;;
179;5;20;2;599,99;0,1;;;;516; 5.320,98 ; 0,15 ;;
180;1;16;1;599,99;0,07;;;;517; 269,99 ; 0,07 ;;
181;1;10;1;1549;0,05;;;;518; 4.631,95 ; 0,57 ;;
181;2;11;1;1680,99;0,1;;;;519; 5.818,96 ; 0,47 ;;
181;3;15;2;529,99;0,2;;;;520; 2.698,98 ; 0,37 ;;
181;4;24;2;549,99;0,05;;;;521; 1.590,98 ; 0,40 ;;
182;1;25;2;499,99;0,05;;;;522; 3.439,97 ; 0,19 ;;
182;2;24;2;549,99;0,07;;;;523; 3.070,96 ; 0,42 ;;
183;1;11;2;1680,99;0,2;;;;524; 7.030,95 ; 0,44 ;;
183;2;12;2;549,99;0,05;;;;525; 5.018,98 ; 0,24 ;;
183;3;19;1;449;0,07;;;;526; 3.599,96 ; 0,32 ;;
183;4;17;1;429;0,07;;;;527; 6.797,98 ; 0,57 ;;
184;1;4;1;2899,99;0,2;;;;528; 269,99 ; 0,05 ;;
184;2;5;1;1320,99;0,1;;;;529; 549,99 ; 0,07 ;;
184;3;14;1;269,99;0,1;;;;530; 4.119,97 ; 0,32 ;;
185;1;20;1;599,99;0,1;;;;531; 1.519,97 ; 0,47 ;;
185;2;8;1;1799,99;0,05;;;;532; 1.578,98 ; 0,37 ;;
186;1;4;1;2899,99;0,1;;;;533; 5.498,97 ; 0,55 ;;
186;2;6;1;469,99;0,1;;;;534; 4.569,96 ; 0,27 ;;
187;1;5;1;1320,99;0,05;;;;535; 1.349,97 ; 0,25 ;;
188;1;7;2;3999,99;0,07;;;;536; 1.839,96 ; 0,32 ;;
189;1;16;2;599,99;0,2;;;;537; 3.077,98 ; 0,40 ;;
190;1;24;1;549,99;0,05;;;;538; 749,99 ; 0,20 ;;
190;2;15;1;529,99;0,2;;;;539; 3.569,97 ; 0,22 ;;
190;3;3;2;999,99;0,2;;;;540; 1.348,98 ; 0,27 ;;
191;1;25;1;499,99;0,05;;;;541; 269,99 ; 0,05 ;;
191;2;12;2;549,99;0,2;;;;542; 4.648,97 ; 0,60 ;;
191;3;3;1;999,99;0,07;;;;543; 1.548,98 ; 0,45 ;;
191;4;8;2;1799,99;0,05;;;;544; 1.248,98 ; 0,20 ;;
191;5;23;1;299,99;0,05;;;;545; 2.119,96 ; 0,54 ;;
192;1;8;2;1799,99;0,1;;;;546; 2.677,99 ; 0,22 ;;
192;2;25;1;499,99;0,07;;;;547; 6.001,97 ; 0,35 ;;
192;3;2;1;749,99;0,05;;;;548; 3.480,98 ; 0,17 ;;
192;4;24;2;549,99;0,07;;;;550; 2.899,99 ; 0,05 ;;
192;5;10;2;1549;0,2;;;;551; 3.410,96 ; 0,52 ;;
193;1;12;2;549,99;0,1;;;;552; 2.497,97 ; 0,90 ;;
194;1;21;2;269,99;0,2;;;;553; 1.548,98 ; 0,24 ;;
195;1;18;1;449;0,2;;;;554; 4.169,97 ; 0,32 ;;
195;2;14;1;269,99;0,05;;;;555; 6.399,97 ; 0,37 ;;
195;3;5;2;1320,99;0,2;;;;556; 3.499,98 ; 0,30 ;;
195;4;4;2;2899,99;0,2;;;;557; 4.548,99 ; 0,20 ;;
195;5;21;2;269,99;0,1;;;;558; 9.418,96 ; 0,36 ;;
196;1;6;1;469,99;0,05;;;;559; 4.999,97 ; 0,27 ;;
196;2;3;2;999,99;0,07;;;;560; 1.199,98 ; 0,15 ;;
196;3;10;2;1549;0,07;;;;561; 2.728,98 ; 0,22 ;;
196;4;12;1;549,99;0,07;;;;562; 1.099,98 ; 0,12 ;;
196;5;20;1;599,99;0,1;;;;563; 1.188,98 ; 0,25 ;;
197;1;4;2;2899,99;0,2;;;;564; 3.429,98 ; 0,40 ;;
197;2;2;2;749,99;0,07;;;;565; 4.377,98 ; 0,45 ;;
198;1;6;2;469,99;0,05;;;;566; 6.619,96 ; 0,57 ;;
198;2;20;2;599,99;0,07;;;;567; 4.320,98 ; 0,27 ;;
198;3;8;2;1799,99;0,2;;;;568; 2.869,99 ; 0,10 ;;
198;4;13;2;269,99;0,05;;;;569; 1.149,98 ; 0,15 ;;
198;5;17;1;429;0,05;;;;570; 4.279,96 ; 0,52 ;;
199;1;25;2;499,99;0,05;;;;571; 5.899,98 ; 0,15 ;;
199;2;18;2;449;0,07;;;;572; 2.950,97 ; 0,35 ;;
199;3;4;1;2899,99;0,2;;;;573; 749,99 ; 0,20 ;;
200;1;23;2;299,99;0,05;;;;574; 3.400,95 ; 0,40 ;;
200;2;22;2;269,99;0,07;;;;575; 3.449,98 ; 0,27 ;;
201;1;24;1;549,99;0,05;;;;576; 2.999,99 ; 0,10 ;;
201;2;7;1;3999,99;0,2;;;;577; 999,99 ; 0,20 ;;
201;3;14;2;269,99;0,1;;;;578; 3.018,97 ; 0,52 ;;
201;4;17;1;429;0,05;;;;579; 4.469,98 ; 0,25 ;;
202;1;8;1;1799,99;0,07;;;;580; 4.848,96 ; 0,74 ;;
202;2;17;1;429;0,05;;;;581; 1.799,99 ; 0,07 ;;
202;3;15;2;529,99;0,05;;;;583; 529,99 ; 0,20 ;;
202;4;25;2;499,99;0,05;;;;584; 3.348,96 ; 0,36 ;;
203;1;26;1;599,99;0,05;;;;585; 3.077,98 ; 0,52 ;;
203;2;3;2;999,99;0,1;;;;586; 1.980,98 ; 0,30 ;;
203;3;17;2;429;0,2;;;;587; 1.568,97 ; 0,35 ;;
203;4;19;2;449;0,07;;;;588; 1.848,99 ; 0,27 ;;
204;1;6;2;469,99;0,07;;;;589; 529,99 ; 0,05 ;;
204;2;17;2;429;0,1;;;;590; 5.020,95 ; 0,42 ;;
205;1;22;2;269,99;0,05;;;;591; 1.849,97 ; 0,20 ;;
205;2;24;2;549,99;0,1;;;;592; 1.318,98 ; 0,22 ;;
206;1;25;1;499,99;0,05;;;;593; 1.499,98 ; 0,17 ;;
206;2;20;1;599,99;0,2;;;;594; 869,98 ; 0,15 ;;
207;1;12;2;549,99;0,2;;;;595; 6.497,97 ; 0,33 ;;
207;2;5;1;1320,99;0,05;;;;596; 4.620,97 ; 0,20 ;;
207;3;11;2;1680,99;0,07;;;;597; 2.228,99 ; 0,27 ;;
207;4;7;2;3999,99;0,1;;;;599; 5.118,97 ; 0,42 ;;
208;1;6;2;469,99;0,05;;;;600; 3.948,98 ; 0,34 ;;
208;2;4;2;2899,99;0,07;;;;601; 549,99 ; 0,20 ;;
208;3;3;1;999,99;0,05;;;;602; 1.850,98 ; 0,12 ;;
208;4;12;1;549,99;0,2;;;;603; 3.449,98 ; 0,17 ;;
208;5;10;2;1549;0,05;;;;604; 4.548,99 ; 0,27 ;;
209;1;13;1;269,99;0,1;;;;605; 2.899,97 ; 0,52 ;;
210;1;14;1;269,99;0,07;;;;606; 918,99 ; 0,25 ;;
210;2;13;2;269,99;0,2;;;;607; 2.550,97 ; 0,47 ;;
211;1;10;1;1549;0,07;;;;608; 7.449,97 ; 0,40 ;;
211;2;2;2;749,99;0,07;;;;609; 7.139,97 ; 0,37 ;;
212;1;16;2;599,99;0,07;;;;610; 4.398,96 ; 0,41 ;;
212;2;12;2;549,99;0,2;;;;611; 599,99 ; 0,07 ;;
212;3;19;1;449;0,1;;;;612; 1.568,97 ; 0,47 ;;
212;4;7;1;3999,99;0,2;;;;613; 3.998,98 ; 0,22 ;;
213;1;13;1;269,99;0,1;;;;614; 718,99 ; 0,15 ;;
214;1;21;1;269,99;0,1;;;;615; 2.899,97 ; 0,32 ;;
215;1;19;1;449;0,07;;;;616; 1.149,98 ; 0,40 ;;
215;2;12;2;549,99;0,1;;;;617; 2.210,98 ; 0,27 ;;
216;1;22;2;269,99;0,1;;;;618; 2.109,99 ; 0,17 ;;
216;2;16;2;599,99;0,05;;;;619; 499,99 ; 0,07 ;;
217;1;18;1;449;0,1;;;;620; 1.320,99 ; 0,20 ;;
217;2;10;2;1549;0,1;;;;621; 429,00 ; 0,07 ;;
217;3;17;1;429;0,07;;;;622; 5.497,98 ; 0,44 ;;
218;1;2;2;749,99;0,1;;;;623; 1.799,99 ; 0,07 ;;
218;2;13;1;269,99;0,07;;;;624; 1.409,96 ; 0,39 ;;
218;3;12;1;549,99;0,05;;;;625; 3.009,97 ; 0,44 ;;
219;1;26;1;599,99;0,05;;;;626; 529,99 ; 0,20 ;;
219;2;5;1;1320,99;0,2;;;;627; 4.048,98 ; 0,34 ;;
220;1;6;2;469,99;0,05;;;;628; 529,99 ; 0,10 ;;
220;2;25;1;499,99;0,07;;;;629; 2.809,96 ; 0,35 ;;
220;3;22;2;269,99;0,1;;;;630; 2.539,97 ; 0,32 ;;
220;4;3;2;999,99;0,2;;;;631; 1.079,98 ; 0,14 ;;
221;1;11;2;1680,99;0,07;;;;632; 3.450,95 ; 0,52 ;;
222;1;10;1;1549;0,1;;;;633; 3.689,97 ; 0,65 ;;
222;2;2;2;749,99;0,1;;;;634; 3.449,98 ; 0,15 ;;
223;1;7;2;3999,99;0,05;;;;635; 2.899,99 ; 0,05 ;;
223;2;5;1;1320,99;0,2;;;;636; 329,99 ; 0,20 ;;
223;3;21;2;269,99;0,1;;;;637; 3.449,98 ; 0,20 ;;
223;4;20;1;599,99;0,05;;;;638; 6.801,97 ; 0,30 ;;
223;5;15;1;529,99;0,05;;;;639; 6.899,96 ; 0,27 ;;
224;1;6;1;469,99;0,07;;;;640; 2.636,95 ; 0,46 ;;
224;2;11;2;1680,99;0,1;;;;641; 4.519,97 ; 0,45 ;;
224;3;10;2;1549;0,2;;;;642; 449,99 ; 0,07 ;;
224;4;25;1;499,99;0,05;;;;643; 749,99 ; 0,05 ;;
225;1;21;1;269,99;0,1;;;;644; 2.999,99 ; 0,07 ;;
225;2;9;1;2999,99;0,1;;;;645; 8.639,95 ; 0,31 ;;
226;1;2;1;749,99;0,05;;;;646; 4.279,96 ; 0,52 ;;
227;1;3;2;999,99;0,05;;;;647; 769,98 ; 0,17 ;;
227;2;15;2;529,99;0,1;;;;648; 549,99 ; 0,07 ;;
228;1;25;1;499,99;0,2;;;;649; 2.888,96 ; 0,32 ;;
228;2;2;2;749,99;0,07;;;;650; 999,99 ; 0,20 ;;
228;3;23;2;299,99;0,1;;;;651; 1.472,96 ; 0,25 ;;
228;4;4;1;2899,99;0,2;;;;652; 4.980,95 ; 0,65 ;;
228;5;22;1;269,99;0,05;;;;653; 7.471,95 ; 0,54 ;;
229;1;25;2;499,99;0,2;;;;654; 4.120,96 ; 0,34 ;;
229;2;5;2;1320,99;0,1;;;;655; 250,99 ; 0,10 ;;
229;3;8;1;1799,99;0,2;;;;656; 889,97 ; 0,22 ;;
230;1;11;2;1680,99;0,07;;;;657; 4.075,98 ; 0,10 ;;
231;1;8;2;1799,99;0,07;;;;658; 7.499,97 ; 0,30 ;;
231;2;14;2;269,99;0,2;;;;659; 9.459,96 ; 0,24 ;;
231;3;5;2;1320,99;0,2;;;;660; 9.899,96 ; 0,52 ;;
232;1;18;1;449;0,07;;;;661; 3.769,98 ; 0,12 ;;
232;2;11;2;1680,99;0,05;;;;662; 4.209,95 ; 0,51 ;;
232;3;26;2;599,99;0,07;;;;663; 3.015,96 ; 0,57 ;;
232;4;8;2;1799,99;0,1;;;;664; 13.836,95 ; 0,61 ;;
233;1;14;1;269,99;0,1;;;;665; 7.799,97 ; 0,32 ;;
233;2;16;2;599,99;0,1;;;;666; 1.989,98 ; 0,25 ;;
233;3;12;1;549,99;0,2;;;;667; 2.142,95 ; 0,65 ;;
233;4;15;2;529,99;0,07;;;;668; 1.948,99 ; 0,15 ;;
234;1;11;2;1680,99;0,2;;;;669; 1.219,98 ; 0,14 ;;
234;2;17;2;429;0,05;;;;670; 4.301,96 ; 0,42 ;;
234;3;12;1;549,99;0,1;;;;671; 7.433,95 ; 0,44 ;;
234;4;7;1;3999,99;0,05;;;;672; 8.349,97 ; 0,34 ;;
234;5;23;1;299,99;0,1;;;;673; 2.391,96 ; 0,57 ;;
235;1;6;1;469,99;0,07;;;;674; 599,99 ; 0,20 ;;
235;2;13;2;269,99;0,05;;;;675; 1.557,98 ; 0,37 ;;
235;3;7;2;3999,99;0,05;;;;676; 2.691,96 ; 0,57 ;;
236;1;3;2;999,99;0,07;;;;677; 8.683,95 ; 0,36 ;;
236;2;2;2;749,99;0,1;;;;678; 1.255,98 ; 0,12 ;;
236;3;4;2;2899,99;0,1;;;;679; 679,98 ; 0,25 ;;
237;1;15;1;529,99;0,2;;;;680; 11.099,97 ; 0,32 ;;
237;2;24;1;549,99;0,07;;;;681; 10.629,95 ; 0,44 ;;
237;3;20;2;599,99;0,2;;;;682; 3.359,97 ; 0,60 ;;
237;4;26;1;599,99;0,05;;;;683; 749,99 ; 0,10 ;;
238;1;20;2;599,99;0,2;;;;684; 5.969,98 ; 0,17 ;;
238;2;25;1;499,99;0,07;;;;685; 10.506,95 ; 0,40 ;;
238;3;13;2;269,99;0,2;;;;686; 2.720,96 ; 0,90 ;;
238;4;22;2;269,99;0,05;;;;687; 3.270,96 ; 0,39 ;;
238;5;7;1;3999,99;0,07;;;;688; 1.989,98 ; 0,15 ;;
239;1;16;2;599,99;0,1;;;;689; 469,99 ; 0,10 ;;
239;2;21;2;269,99;0,05;;;;690; 2.537,96 ; 0,52 ;;
239;3;18;1;449;0,07;;;;691; 4.920,96 ; 0,55 ;;
239;4;4;2;2899,99;0,07;;;;693; 3.705,96 ; 0,52 ;;
240;1;9;1;2999,99;0,07;;;;694; 7.121,95 ; 0,65 ;;
240;2;8;1;1799,99;0,07;;;;695; 2.659,98 ; 0,30 ;;
240;3;5;1;1320,99;0,07;;;;696; 5.059,97 ; 0,24 ;;
240;4;18;2;449;0,07;;;;697; 1.320,99 ; 0,05 ;;
241;1;7;1;3999,99;0,2;;;;698; 5.899,97 ; 0,19 ;;
242;1;3;1;999,99;0,2;;;;699; 4.792,95 ; 0,67 ;;
243;1;25;2;499,99;0,05;;;;700; 7.499,98 ; 0,25 ;;
243;2;19;2;449;0,07;;;;701; 109,99 ; 0,05 ;;
243;3;7;2;3999,99;0,05;;;;702; 1.981,97 ; 0,22 ;;
244;1;19;1;449;0,07;;;;703; 4.640,96 ; 0,65 ;;
244;2;25;1;499,99;0,2;;;;704; 5.538,98 ; 0,32 ;;
244;3;22;1;269,99;0,1;;;;705; 4.999,99 ; 0,10 ;;
245;1;10;2;1549;0,05;;;;706; 2.859,97 ; 0,35 ;;
245;2;8;1;1799,99;0,1;;;;707; 3.220,96 ; 0,32 ;;
246;1;17;2;429;0,2;;;;708; 6.239,97 ; 0,37 ;;
247;1;25;1;499,99;0,07;;;;709; 4.539,97 ; 0,19 ;;
247;2;3;1;999,99;0,2;;;;710; 9.859,95 ; 0,70 ;;
248;1;13;1;269,99;0,1;;;;711; 2.240,97 ; 0,30 ;;
248;2;26;2;599,99;0,1;;;;712; 5.012,95 ; 0,75 ;;
248;3;17;1;429;0,1;;;;713; 1.759,96 ; 0,44 ;;
248;4;9;1;2999,99;0,2;;;;714; 209,99 ; 0,20 ;;
249;1;7;2;3999,99;0,05;;;;716; 3.983,96 ; 0,32 ;;
249;2;18;2;449;0,05;;;;717; 5.709,98 ; 0,25 ;;
249;3;22;1;269,99;0,1;;;;718; 5.699,97 ; 0,24 ;;
250;1;17;2;429;0,05;;;;719; 489,99 ; 0,20 ;;
250;2;11;2;1680,99;0,1;;;;720; 940,98 ; 0,17 ;;
251;1;23;2;299,99;0,2;;;;721; 2.579,96 ; 0,42 ;;
251;2;22;2;269,99;0,05;;;;722; 1.751,97 ; 0,22 ;;
252;1;11;2;1680,99;0,1;;;;723; 1.599,97 ; 0,19 ;;
252;2;4;1;2899,99;0,07;;;;724; 4.089,96 ; 0,50 ;;
252;3;19;1;449;0,1;;;;725; 4.859,96 ; 0,32 ;;
253;1;11;2;1680,99;0,07;;;;726; 489,99 ; 0,20 ;;
254;1;6;2;469,99;0,07;;;;727; 1.307,98 ; 0,12 ;;
254;2;3;1;999,99;0,05;;;;728; 11.509,96 ; 0,32 ;;
254;3;12;1;549,99;0,05;;;;729; 339,99 ; 0,10 ;;
255;1;5;2;1320,99;0,1;;;;730; 3.622,96 ; 0,32 ;;
255;2;14;1;269,99;0,2;;;;731; 5.100,96 ; 0,65 ;;
255;3;2;2;749,99;0,2;;;;732; 8.199,98 ; 0,14 ;;
255;4;21;1;269,99;0,07;;;;733; 3.299,97 ; 0,35 ;;
256;1;11;1;1680,99;0,1;;;;734; 2.056,96 ; 0,55 ;;
256;2;21;1;269,99;0,05;;;;736; 9.428,98 ; 0,35 ;;
257;1;8;2;1799,99;0,07;;;;737; 2.594,97 ; 0,39 ;;
257;2;13;2;269,99;0,2;;;;738; 5.209,96 ; 0,44 ;;
257;3;10;2;1549;0,1;;;;739; 999,99 ; 0,20 ;;
